name,occupation,gender,orientation,wikidata_url
Rosalind Picard,computer scientist,female,,http://www.wikidata.org/entity/Q14109
Nichole Pinkard,computer scientist,female,,http://www.wikidata.org/entity/Q14110
Diane Pozefsky,computer scientist,female,,http://www.wikidata.org/entity/Q14111
Joanne Pransky,computer scientist,female,,http://www.wikidata.org/entity/Q14113
Dana Randall,computer scientist,female,,http://www.wikidata.org/entity/Q14120
Elizabeth Rather,computer scientist,female,,http://www.wikidata.org/entity/Q14210
Colette Rolland,computer scientist,female,,http://www.wikidata.org/entity/Q14218
Dana Ron,computer scientist,female,,http://www.wikidata.org/entity/Q14220
Daniela L. Rus,computer scientist,female,,http://www.wikidata.org/entity/Q14223
Reihaneh Safavi-Naini,computer scientist,female,,http://www.wikidata.org/entity/Q14227
Jean E. Sammet,computer scientist,female,,http://www.wikidata.org/entity/Q14232
Sarit Kraus,computer scientist,female,,http://www.wikidata.org/entity/Q14234
Margo Seltzer,computer scientist,female,,http://www.wikidata.org/entity/Q14237
Kaisa Sere,computer scientist,female,,http://www.wikidata.org/entity/Q14239
Mary Shaw,computer scientist,female,,http://www.wikidata.org/entity/Q14241
Hava Siegelmann,computer scientist,female,,http://www.wikidata.org/entity/Q14243
Barbara Simons,computer scientist,female,,http://www.wikidata.org/entity/Q14250
Diane Souvaine,computer scientist,female,,http://www.wikidata.org/entity/Q14252
Karen Spärck Jones,computer scientist,female,,http://www.wikidata.org/entity/Q14254
Ellen Spertus,computer scientist,female,,http://www.wikidata.org/entity/Q14257
Katherine St. John,computer scientist,female,,http://www.wikidata.org/entity/Q14260
Stella Atkins,computer scientist,female,,http://www.wikidata.org/entity/Q14261
Ileana Streinu,computer scientist,female,,http://www.wikidata.org/entity/Q14263
Maureen C. Stone,computer scientist,female,,http://www.wikidata.org/entity/Q14264
Carolyn Talcott,computer scientist,female,,http://www.wikidata.org/entity/Q15020
Éva Tardos,computer scientist,female,,http://www.wikidata.org/entity/Q15030
Jaime Teevan,computer scientist,female,,http://www.wikidata.org/entity/Q15036
Marilyn Tremaine,computer scientist,female,,http://www.wikidata.org/entity/Q15313
Dana Ulery,computer scientist,female,,http://www.wikidata.org/entity/Q16057
Manuela M. Veloso,computer scientist,female,,http://www.wikidata.org/entity/Q16118
